sentence,,,,,,,,,,,,,,,,,,,,,,,,,label
,,,,,,,,,,,,,,,,,,,,,,,,,
Sarika Connoisseur Café Pte Ltd,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Singapore                                    		                              March 2013 – July 2014",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Data Admin Assistant,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Inputted employees’ information into centralized HR database to ensure proper flow of essential particulars,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Balanced payroll accounts in Time Attendance System by resolving payroll discrepancies,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculation of overtime hours during both peak and non- peak working days,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Collated and organized documentations needed for filing of employees’ record,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Handled phone call complaints and quickly expedited it to relevant departments,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Provided payroll information by answering employees’ questions and requests,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Assisted in the planning and coordination of new employees’ orientation and training related arrangements,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
ACADEMIC QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
RMIT University,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Singapore Institute of Management (SIM)	    	                                      July 2013 – November 2014 ",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor of Business (Economics and Finance)						       ",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Ngee Ann Polytechnic (NP)		 				      		      	   April 2010 – May 2013 Diploma in Business Information Technology",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER ACTIVITIES & LEADERSHIP EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Ngee Ann Polytechnic Primers								   		              	    2012",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sub-committee Member	",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Awarded silver award for co-curriculum activities for active involvement and contribution to local community service,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Led the planning,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
coordination and execution of Boys’ Brigade Sharity Gift Box with other committee members,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Oversaw all aspects of the event which included external collection and publicity,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
internal collection and delivery to attain event’s success,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Young Entrepreneur Club,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Bukit Merah Secondary School                                                             		      2008 – 2009",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
"Chairman			     				",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Received Eagles Award for active involvement and outstanding achievements in co-curriculum activities,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Awarded 2nd Prize at Civil Service Club Young Entrepreneurship Challenge,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Tasked with overseeing the finance,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
operations and training programs for a student-run cafe ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Monitored team members’ participation and promoted team bonding and spirit,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
SKILLS & CERTIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Languages: English and Mandarin (Fluent),,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Skills: Proficient in the use of the MS office suite and Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Certifications: Passed CFA Level 1 Examination (December 2016),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Lee Kun Wei,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
 +65 90125838 | jorlee223@gmail,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
com,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Analyst with 5 years of work experience in a financial institution,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Mature and independent,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
possess good analytical ability,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Meticulous and able to work under pressure to meet deadlines,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
efficient and reliable,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Highly adaptable to changing environment,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
keen to learn & able to familiarize new systems/ processes quickly,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Good accounting background and in-depth market knowledge of hedge fund administration,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Able to work fast and collaborate well as a team,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
DEGREE 2nd cLASS HONORS | 2010-2013 | UNIVERSITY OF LONDON,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
 Bachelor of Accounting and Finance,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Institution: Singapore Accountancy Academy (SAA),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
DIPLOMA | 2005-2008 | SINGAPORE POLYTECHNIC,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma in Electrical and Electronic Engineering,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Related coursework: Underwater Robot,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
SPINNOVEX 2008,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Chairman of Social Community in SP Electrical Electronic Engineering Club (SP EEEC),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
2006-2008,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Provided many insights to prospective students on polytechnic life by active sharing of personal experiences,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Developed strong interpersonal skills,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
able to listen,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
communicate,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
establish trust and create strong team bonding spirit,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Maintained focus and positive attitude,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
encouraged team members to work towards a common goal,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Organized 2 years of annual Freshmen Orientation Program & Dinner & Dance,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
involved in the sourcing of Sponsorships (Event Venue,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Hair,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Makeup),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
resource and activities planning,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Maintained good relationships with sponsors (ShangRi La’s Rasa Sentosa Resort Singapore & Shiseido Singapore),,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
"the
",,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
MUFG Fund Services (singapore) pte ltd | may 2016 – Present,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Reconciliation Specialist,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor daily client trade file and resolve trade rejects,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Perform investigations for failed trade files,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Complete break resolution for all open items,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Liaise with custodians/brokers to resolve trade disputes and discrepancies,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Support the conversion of new client and existing migration in to new system to enhance the quality of work provided,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
MIS reporting to provide management oversight and control of daily processes and efficiencies,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Coaching and mentoring of junior staff,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Manage high level internal clients and achieve excellence in client delivery,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
citco fund services (singapore) pte ltd | sep 2013 – may 2016,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Operations Analyst,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Process daily Pre-Reconciliation tasks such as Dividend,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
GL entries,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
System Jobs,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation etc,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Complete break resolution for all open items,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Liaise with custodians/brokers to resolve trade disputes and discrepancies,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare daily reconciliations between Citco and Fund Prime Brokers/ Counterparties,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Support the conversion of new client and existing migration,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Coaching and mentoring junior staff by providing guidance for their on-job training,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
perform reviews on their work,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Identify and resolve task/ system failure in a timely manner which is essential to the downstream production,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor and analyze daily portfolio pricing,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Involved in process enhancement reviews to improve work efficiencies in the team,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
sony electronics asia pacific pte ltd | jun 2012 – dec 2012,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Assistant,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Handled accounts receivable and credit notes,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Responsible for the checks of customers’ credit limit ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Assist in Monthly Closing,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Reconciliation of intercompany balances,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
 Proficient in Microsoft Office Applications (Pivot Table,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
V Lookup,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
SAP,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
AEXEO system & ART System),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Fluent in English and Mandarin (spoken and written),,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Cantonese,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkien,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Able to manage conversation and interaction with fellow working partners and public,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Able to work effectively in a complex and global environment ,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Able to maintain effective working relationships across group,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
divisional and functional levels,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Pursuing CPA Certification for self-improvement and future career development opportunities,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Current Salary per month - $4,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
425 (No AWS,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
5 - 1 month variable bonus),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Salary per month - $5,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Resignation Notice Period – 2 months,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Yao Jie                           ,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Block 285D,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Toh Guan Road,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
604285,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile: +65 81431286 Email:  jillyaojie@outlook,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
com,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
EXECUTIVE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
7+ years’ financial and management accounting experience with 1,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
5 years’ exposure to UBS AG Singapore Branch and 6 years’ experiences gained from MNCs in manufacturing industry,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
After concentrating on ACCA study for one year on a full-time basis,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
I am eager to bring more professional financial control and financial reporting services to a great company,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Hands-on experience in full set of accounts including payments,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
receipts,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
month-end closing process,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
financial reporting (IFRS/FRS),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
MAS/SGX regulatory reporting,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
financial analysis,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
internal control,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
system enhancement and process improvement projects,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
statutory accounts such as supporting audit schedules etc,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Broad product knowledge such as deposit,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
loan,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
fixed income,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
securities or derivatives acquired from exposure in UBS and practical M,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Sc,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
(Finance) program in NTU,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Proficient in SAP,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
BW,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Axiom,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperion,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint and Advanced Excel such as V-lookup,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Pivot table,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
conditional functions,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
financial statement projection etc,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
EDUCATION & QUALIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Sc,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
(Finance),,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Nanyang Business School,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Nanyang Technological University           2013 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor of Accounting,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai University of International Business and Economics,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
2003 – 2007,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
WORK EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Accountant in UBS AG Singapore branch   Singapore        11th Feb 2015- 7th Aug 2016,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Reason for leaving: contract role,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
left for focusing on ACCA study to get certified,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Accomplishments,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Incorporated control points in the template of financial statements and regulatory reporting which saved one day per month during month end close procedure and improved accuracy of reports,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Job duties,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Performed month-end,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
quarter-end and year-end closing activities such as preparing accounting journal entries for accrual and ledger adjustment,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
conducting bank reconciliation and liaising with product controller or fund administrator to resolve cash breaks,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
preparing monthly balance sheet reconciliation and substantiation for UBS Subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Fulfilled 3 financial reporting packages for management (including quarter-to-quarter variance analysis and disclosure notes) of UBS subsidiaries and provided comments on the big fluctuation,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Performed tax reporting and analysis such as quarterly income tax provision calculation and GST filing for UBS GTC and UBS Trustees and Liaised with Group Tax team for review,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Prepared and monitored daily compliance ratios by liquidity monitoring report and risk based capital report for UBS SG branch,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
UBS Securities,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
UBS Principal Capital such as Asset maintenance ratio,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Qualifying Liability,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Cash Balance,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
liquidity coverage ratio,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
FR/TRR ratio etc,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted issues and coordinated with relevant stakeholders (Treasury,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Trader,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Product controller,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
operation team etc,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
to verify the accuracy of accounts and the reason for the big flux and further actions needed to maintain the ratio at a healthy level,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Performed and timely submitted fortnightly MAS 640 report (MCB,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
AMR and QL) for UBS SG branch,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Conducted more than 10 monthly and quarterly regulatory reports concisely within tight deadline such as MAS 610,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
risk based capital reports and quarterly income and expenditure reports,,,,,,,,,,,,,,,,,,,,,,,,,objective
,,,,,,,,,,,,,,,,,,,,,,,,,
Investigated and reverted to the queries from MAS and SGX,,,,,,,,,,,,,,,,,,,,,,,,,subjective
,,,,,,,,,,,,,,,,,,,,,,,,,
